id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0023e9c4-b7a7-444f-9d1b-596fe298240e,coffeeand.forum,available,1.99,,76,4,10,name.com,,
003e7192-f92c-40d5-bedf-29649e6547bc,getmedieval.forum,available,1.99,,70,1,12,name.com,,
0071910d-76b6-43f1-a1b5-b1a8e19903ca,asperusual.forum,available,1.99,,48,1,12,name.com,,
008b692c-2dbd-4088-8d26-8b3578d276fd,Cats.forum,premium,700,700,59,33,4,namecheap,,
00932b27-7344-479e-9513-bfec5e7d293b,operacake.forum,available,1.99,,80,1,10,name.com,,
00e181d9-58f1-4173-b377-123f74d499ba,coffeegrounds.forum,available,1.99,,72,2,14,name.com,,
01013500-f1f4-43a7-84a5-da14f85dfffe,gonuts.forum,available,1.99,,76,8,7,name.com,,
0121c347-dba2-4870-8a11-6ea79a145a89,eachway.forum,available,1.99,,68,2,8,name.com,,
01289f0a-b41f-4b12-8075-fb20acdb3f06,toweloff.forum,available,1.99,,70,1,9,name.com,,
01410df9-4efb-4bf0-afe8-4a789798413e,goaroundthehouses.forum,available,1.99,,60,0,20,name.com,,
015ba8b6-e4f6-4354-a4d7-a53700143c31,highschoolstudent.forum,available,1.99,,55,0,19,name.com,,
0163a905-7c12-4f22-a9f4-b8b0ee7109b8,whats.forum,premium,87.5,,58,24,5,name.com,,
016aa14d-5229-40ce-9edb-0b562e584c85,gotosleep.forum,available,1.99,,72,3,11,name.com,,
016c23b4-fa74-4854-a30c-3b287477c8f8,contemplation.forum,available,1.99,,66,6,13,name.com,,
0171883f-7ead-4138-95b4-7a99d58ecfd9,instruments.forum,available,1.99,,62,11,11,name.com,,
01a19812-fef3-4751-a230-9a600193a085,corrections.forum,available,1.99,,68,6,11,name.com,,
01a9b761-03c6-44c0-a3da-4974bce49bab,ontop.forum,available,1.99,,66,14,6,name.com,,
01b51616-c46d-403d-8e97-ba2e63578d71,couldhavesworn.forum,available,1.99,,44,0,16,name.com,,
01c9d0d3-90f0-43e7-8da3-4a4e46a38520,pizzaslice.forum,available,1.99,,56,4,11,name.com,,
01f41695-4ccc-4593-a4c5-64d71558e977,weights.forum,available,1.99,,56,9,7,name.com,,
01fa28d9-587f-4eab-b99e-fa14437f15b0,nails.forum,premium,87.5,,62,18,5,name.com,,
020f9529-aecc-4c4b-8aa6-cf624deb97f7,comeof.forum,available,1.99,,74,1,7,name.com,,
0220de27-b20c-4b54-bd47-9971794c9191,deeper.forum,available,1.99,,56,19,6,name.com,,
02252b94-c22f-4840-b82f-caf1eb7af4cf,CountyofSussex.forum,available,49.98,,44,2,16,namecheap,,
02400b15-6746-4fee-a722-514a4f74defd,CountyTyrone.forum,available,49.98,,42,2,13,namecheap,,
02426c27-5e58-4407-8f41-47f8edc6e84b,stepbystep.forum,available,1.99,,62,14,12,name.com,,
0242aa8d-3a90-46e5-998d-e420a7d50d19,letoffthehook.forum,available,1.99,,53,0,16,name.com,,
024ee1f9-c41d-454e-8bb2-fee73a923bd6,waitforit.forum,available,1.99,,43,4,11,name.com,,
027c8be9-0e06-4cb3-b433-f674c0470838,cocks.forum,premium,87.5,,56,10,5,name.com,,
02917798-f6aa-44c3-99b1-366c6e578dac,stepinto.forum,available,1.99,,52,5,9,name.com,,
029360fd-4538-4bfc-9523-58dd1d096f2b,fillup.forum,available,1.99,,72,7,7,name.com,,
02b3aacc-d1d5-4180-b9d4-4fc0904d5980,resists.forum,available,1.99,,52,2,7,name.com,,
02d7f84d-2ae4-4d25-b677-0b48e412090e,havekittens.forum,available,1.99,,66,1,12,name.com,,
